2021-03-11 19:56:33, {'time': '19:56:31', 0: 81.739, 1: -1809.4, 2: 65.788}
2021-03-11 19:56:48, {'time': '19:56:46', 0: 81.729, 1: -1809.4, 2: 65.772}
2021-03-11 19:57:03, {'time': '19:57:01', 0: 81.714, 1: -1809.4, 2: 65.757}
2021-03-11 19:57:18, {'time': '19:57:16', 0: 81.694, 1: -1809.4, 2: 65.743}
2021-03-11 19:57:33, {'time': '19:57:31', 0: 81.667, 1: -1809.4, 2: 65.727}
2021-03-11 19:57:48, {'time': '19:57:46', 0: 81.651, 1: -1809.4, 2: 65.714}
2021-03-11 19:58:03, {'time': '19:58:01', 0: 81.639, 1: -1809.4, 2: 65.703}
2021-03-11 19:58:18, {'time': '19:58:16', 0: 81.628, 1: -1809.4, 2: 65.689}
2021-03-11 19:58:33, {'time': '19:58:32', 0: 81.592, 1: -1809.4, 2: 65.671}
2021-03-11 19:58:48, {'time': '19:58:47', 0: 81.574, 1: -1809.4, 2: 65.651}
2021-03-11 19:59:03, {'time': '19:59:02', 0: 81.565, 1: -1809.4, 2: 65.64}
2021-03-11 19:59:18, {'time': '19:59:17', 0: 81.554, 1: -1809.4, 2: 65.626}
2021-03-11 19:59:33, {'time': '19:59:32', 0: 81.545, 1: -1809.4, 2: 65.61}
2021-03-11 19:59:48, {'time': '19:59:47', 0: 81.527, 1: -1809.4, 2: 65.595}
2021-03-11 20:00:03, {'time': '20:00:02', 0: 81.513, 1: -1809.4, 2: 65.584}
2021-03-11 20:00:18, {'time': '20:00:17', 0: 81.514, 1: -1809.4, 2: 65.575}
2021-03-11 20:00:33, {'time': '20:00:32', 0: 81.513, 1: -1809.4, 2: 65.565}
2021-03-11 20:00:48, {'time': '20:00:47', 0: 81.496, 1: -1809.4, 2: 65.547}
2021-03-11 20:01:03, {'time': '20:01:02', 0: 81.469, 1: -1809.4, 2: 65.53}
2021-03-11 20:01:18, {'time': '20:01:17', 0: 81.451, 1: -1809.4, 2: 65.52}
2021-03-11 20:01:33, {'time': '20:01:32', 0: 81.432, 1: -1809.4, 2: 65.511}
2021-03-11 20:01:48, {'time': '20:01:47', 0: 81.421, 1: -1809.4, 2: 65.503}
2021-03-11 20:02:03, {'time': '20:02:03', 0: 81.414, 1: -1809.4, 2: 65.494}
2021-03-11 20:02:18, {'time': '20:02:18', 0: 81.397, 1: -1809.4, 2: 65.485}
2021-03-11 20:02:33, {'time': '20:02:33', 0: 81.381, 1: -1809.4, 2: 65.475}
2021-03-11 20:02:48, {'time': '20:02:48', 0: 81.378, 1: -1809.4, 2: 65.46}
2021-03-11 20:03:03, {'time': '20:03:03', 0: 81.358, 1: -1809.4, 2: 65.455}
2021-03-11 20:03:18, {'time': '20:03:18', 0: 81.345, 1: -1809.4, 2: 65.446}
2021-03-11 20:03:33, {'time': '20:03:30', 0: 81.32, 1: -1809.4, 2: 65.433}
2021-03-11 20:03:48, {'time': '20:03:45', 0: 81.304, 1: -1809.4, 2: 65.424}
2021-03-11 20:04:03, {'time': '20:04:00', 0: 81.293, 1: -1809.4, 2: 65.415}
2021-03-11 20:04:18, {'time': '20:04:15', 0: 81.291, 1: -1809.4, 2: 65.403}
2021-03-11 20:04:33, {'time': '20:04:30', 0: 79.007, 1: -1809.4, 2: 65.392}
2021-03-11 20:04:48, {'time': '20:04:45', 0: 79.023, 1: -1809.4, 2: 65.376}
2021-03-11 20:05:03, {'time': '20:05:00', 0: 79.045, 1: -1809.4, 2: 65.361}
2021-03-11 20:05:18, {'time': '20:05:15', 0: 79.057, 1: -1809.4, 2: 65.349}
2021-03-11 20:05:33, {'time': '20:05:31', 0: 79.07, 1: -1809.4, 2: 65.336}
2021-03-11 20:05:48, {'time': '20:05:46', 0: 79.074, 1: -1809.4, 2: 65.318}
2021-03-11 20:06:03, {'time': '20:06:01', 0: 79.07, 1: -1809.4, 2: 65.3}
2021-03-11 20:06:18, {'time': '20:06:16', 0: 79.041, 1: -1809.4, 2: 65.282}
2021-03-11 20:06:33, {'time': '20:06:31', 0: 79.03, 1: -1809.4, 2: 65.266}
2021-03-11 20:06:48, {'time': '20:06:46', 0: 79.021, 1: -1809.4, 2: 65.251}
2021-03-11 20:07:03, {'time': '20:07:01', 0: 79.021, 1: -1809.4, 2: 65.237}
2021-03-11 20:07:18, {'time': '20:07:16', 0: 79.021, 1: -1809.4, 2: 65.217}
2021-03-11 20:07:33, {'time': '20:07:31', 0: 79.023, 1: -1809.4, 2: 65.206}
2021-03-11 20:07:48, {'time': '20:07:46', 0: 79.011, 1: -1809.4, 2: 65.194}
2021-03-11 20:08:03, {'time': '20:08:01', 0: 78.993, 1: -1809.4, 2: 65.183}
2021-03-11 20:08:18, {'time': '20:08:16', 0: 78.989, 1: -1809.4, 2: 65.172}
2021-03-11 20:08:33, {'time': '20:08:31', 0: 78.987, 1: -1809.4, 2: 65.163}
2021-03-11 20:08:48, {'time': '20:08:47', 0: 78.984, 1: -1809.4, 2: 65.156}
2021-03-11 20:09:03, {'time': '20:09:02', 0: 78.978, 1: -1809.4, 2: 65.143}
2021-03-11 20:09:18, {'time': '20:09:17', 0: 78.973, 1: -1809.4, 2: 65.125}
2021-03-11 20:09:33, {'time': '20:09:32', 0: 78.957, 1: -1809.4, 2: 65.115}
2021-03-11 20:09:48, {'time': '20:09:47', 0: 78.946, 1: -1809.4, 2: 65.102}
2021-03-11 20:10:03, {'time': '20:10:02', 0: 78.933, 1: -1809.4, 2: 65.093}
2021-03-11 20:10:18, {'time': '20:10:17', 0: 78.915, 1: -1809.4, 2: 65.089}
2021-03-11 20:10:33, {'time': '20:10:32', 0: 78.904, 1: -1809.4, 2: 65.084}
2021-03-11 20:10:48, {'time': '20:10:47', 0: 78.901, 1: -1809.4, 2: 65.082}
2021-03-11 20:11:03, {'time': '20:11:02', 0: 78.888, 1: -1809.4, 2: 65.07}
2021-03-11 20:11:18, {'time': '20:11:17', 0: 78.881, 1: -1809.4, 2: 65.061}
2021-03-11 20:11:33, {'time': '20:11:32', 0: 78.865, 1: -1809.4, 2: 65.057}
2021-03-11 20:11:48, {'time': '20:11:47', 0: 78.856, 1: -1809.4, 2: 65.052}
2021-03-11 20:12:03, {'time': '20:12:02', 0: 78.84, 1: -1809.4, 2: 65.039}
2021-03-11 20:12:18, {'time': '20:12:18', 0: 78.836, 1: -1809.4, 2: 65.035}
2021-03-11 20:12:33, {'time': '20:12:33', 0: 78.832, 1: -1809.4, 2: 65.034}
2021-03-11 20:12:48, {'time': '20:12:48', 0: 78.845, 1: -1809.4, 2: 65.037}
2021-03-11 20:13:03, {'time': '20:13:03', 0: 78.865, 1: -1809.4, 2: 65.044}
2021-03-11 20:13:18, {'time': '20:13:18', 0: 78.894, 1: -1809.4, 2: 65.061}
2021-03-11 20:13:33, {'time': '20:13:33', 0: 78.919, 1: -1809.4, 2: 65.077}
2021-03-11 20:13:48, {'time': '20:13:48', 0: 78.946, 1: -1809.4, 2: 65.091}
2021-03-11 20:14:03, {'time': '20:14:00', 0: 78.975, 1: -1809.4, 2: 65.109}
2021-03-11 20:14:18, {'time': '20:14:15', 0: 79.011, 1: -1809.4, 2: 65.131}
2021-03-11 20:14:33, {'time': '20:14:30', 0: 79.05, 1: -1809.4, 2: 65.152}
2021-03-11 20:14:48, {'time': '20:14:45', 0: 79.093, 1: -1809.4, 2: 65.172}
2021-03-11 20:15:03, {'time': '20:15:00', 0: 79.138, 1: -1809.4, 2: 65.197}
2021-03-11 20:15:18, {'time': '20:15:15', 0: 79.165, 1: -1809.4, 2: 65.221}
2021-03-11 20:15:33, {'time': '20:15:31', 0: 79.207, 1: -1809.4, 2: 65.239}
2021-03-11 20:15:48, {'time': '20:15:46', 0: 79.243, 1: -1809.4, 2: 65.264}
2021-03-11 20:16:03, {'time': '20:16:01', 0: 79.284, 1: -1809.4, 2: 65.287}
2021-03-11 20:16:18, {'time': '20:16:16', 0: 79.32, 1: -1809.4, 2: 65.307}
2021-03-11 20:16:33, {'time': '20:16:31', 0: 79.354, 1: -1809.4, 2: 65.331}
2021-03-11 20:16:48, {'time': '20:16:46', 0: 79.385, 1: -1809.4, 2: 65.35}
2021-03-11 20:17:03, {'time': '20:17:01', 0: 79.414, 1: -1809.4, 2: 65.372}
2021-03-11 20:17:18, {'time': '20:17:16', 0: 79.448, 1: -1809.4, 2: 65.392}
2021-03-11 20:17:33, {'time': '20:17:31', 0: 79.484, 1: -1809.4, 2: 65.413}
2021-03-11 20:17:48, {'time': '20:17:46', 0: 79.507, 1: -1809.4, 2: 65.433}
2021-03-11 20:18:03, {'time': '20:18:01', 0: 79.534, 1: -1809.4, 2: 65.451}
2021-03-11 20:18:18, {'time': '20:18:16', 0: 79.57, 1: -1809.4, 2: 65.469}
2021-03-11 20:18:33, {'time': '20:18:31', 0: 79.601, 1: -1809.4, 2: 65.489}
2021-03-11 20:18:48, {'time': '20:18:46', 0: 79.624, 1: -1809.4, 2: 65.509}
2021-03-11 20:19:03, {'time': '20:19:02', 0: 79.653, 1: -1809.4, 2: 65.525}
2021-03-11 20:19:18, {'time': '20:19:17', 0: 79.671, 1: -1809.4, 2: 65.539}
2021-03-11 20:19:33, {'time': '20:19:32', 0: 79.684, 1: -1809.4, 2: 65.554}
2021-03-11 20:19:48, {'time': '20:19:47', 0: 79.718, 1: -1809.4, 2: 65.566}
2021-03-11 20:20:03, {'time': '20:20:02', 0: 79.74, 1: -1809.4, 2: 65.579}
2021-03-11 20:20:18, {'time': '20:20:17', 0: 79.768, 1: -1809.4, 2: 65.59}
2021-03-11 20:20:33, {'time': '20:20:32', 0: 79.785, 1: -1809.4, 2: 65.601}
2021-03-11 20:20:48, {'time': '20:20:47', 0: 79.808, 1: -1809.4, 2: 65.611}
2021-03-11 20:21:03, {'time': '20:21:02', 0: 79.835, 1: -1809.4, 2: 65.622}
2021-03-11 20:21:18, {'time': '20:21:17', 0: 79.855, 1: -1809.4, 2: 65.633}
2021-03-11 20:21:33, {'time': '20:21:32', 0: 79.88, 1: -1809.4, 2: 65.644}
